Titre,Ingrédients,Instructions
Carpaccio de Saint-Jacques et grenade,"Noix de St Jacques (200 g), Grenade(s) (1), Huile d'olive (2 c. à soupe), Jus de citron(s) jaune(s) (1), Basilic frais (1 branche(s)), Sel, poivre ()",
Beignets de blettes,"Blette (250 g), Farine (150 g), Lait (120 ml), Œuf(s) (1), Levure (0,5 sachet(s)), Huile d'olive (2 c. à soupe), Sel poivre ()",
"Salade de pois chiches, feta et concombre","Pois chiches cuits (400 g), Feta (200 g), Concombre(s) (1), Poivron(s) rouge(s) (1), Oignon(s) (1), Huile d'olive (6 cl), Jus de citron (2 c. à soupe), Gousse(s) d'ail (2), Cumin en poudre (1 c. à café), Persil (1 branche(s)), Sel & Poivre ()",
Tortilla,"Pomme de terre à chair ferme (400 g), Oignon(s) jaune(s) (1), Œuf(s) (3), Huile d'olive (2 c. à soupe), Sel (1 pincée(s)), Poivre (1 pincée(s))",
Tomates farcies au four,"Chair à saucisse(s) (200 g), Tomate(s) (4), Persil (1 bouquet(s)), Oignon(s) (1), Ail (1 Gousse), Chapelure (2 c. à soupe), Lait (3 c. à soupe), Huile d'olive (1 c. à soupe), Sel poivre ()",
Tomates provençales,"Tomate(s) fraîche(s) (6), Ail (3 gousse(s)), Persil (0,5 bouquet(s)), Huile d'olive (), Chapelure (), Sel poivre ()",
Quenelles à la tomate,"Quenelle(s) (6), Concentré de tomate (1 tube(s)), Champignon(s) (1 boîte(s)), Vin blanc (10 cl), Gruyère râpé (1 paquet(s)), Thym (), Olives (), Sel (), Poivre ()",
Oeuf de caille dur,Œuf(s) de caille (4),
Topinambours rôtis,"Topinambour (600 g), Ail (4 gousse(s)), Ciboulette (2 c. à soupe), Huile d'olive (2 c. à soupe), Jus de citron (1), Sel poivre ()",
Soupe de potiron au Thermomix,"Potiron (700 g), Eau (300 g), Oignon(s) (1), Huile d'olive (2 c. à soupe), Sel fin (0,5 c. à café), Poivre au moulin ()",
Soupe butternut potimarron,"Courge butternut (1), Potimarron (1), Pomme(s) de terre (2), Échalote(s) (3), Beurre (20 g), Crème liquide (20 cl), Bouillon de volaille (1 cube(s)), Noix de muscade en poudre (1 c. à café), Sel (), Poivre ()",
Soupe potimarron avec peau,"Potimarron (1), Pomme(s) de terre (2), Oignon(s) (1), Beurre (20 g), Crème liquide (20 cl), Muscade (1 c. à café), Sel (), Poivre ()",
Potimarron farci au fromage de chèvre,"Potimarron (1), Bûche de chèvre (1), Crème fraîche (0,25 l), Œuf(s) (3), Sel, poivre ()",
Soupe potimarron et carottes au Thermomix,"Potimarron (500 g), Carotte(s) (200 g), Eau (600 g), Crème fraîche (20 g), Huile d'olive (2 c. à soupe), Oignon(s) (1), Ail (1 Gousse), Bouillon cube de légumes (1), Sel poivre ()",
