Titre,Ingrédients,Instructions
Papillote de poisson aux légumes de novembre,"Poisson blanc (4 filets), Poireau(x) (2), Carotte(s) (2), Bulbe de fenouil (1), Gousse(s) d'ail (2), Thym frais (4 branche(s)), Huile d'olive (4 c. à soupe), Citron (1), Poivre ()",
"Poisson blanc confit au beurre d'agrumes, linguine de Cyril Lignac","Poisson blanc (4 pavé(s)), Beurre (80 g), Orange(s) (2), Citron vert bio (1), Citron (1), Basilic (Quelques feuilles), Linguine (320 g), Courgette (1), Gousse(s) d'ail (1), Parmesan (50 g), Huile d'olive (), Fleur de sel ()",
"Burger de poisson pané, sauce tartare au wasabi de Cyril Lignac","Pain à burger(s) (4), Poisson blanc (4 pavé(s)), Farine (40 g), Blanc(s) d'œuf(s) (2), Chapelure de pain de mie (50 g), Avocat(s) (2), Salade romaine (4 feuilles), Oignon(s) nouveau (2), Cheddar (1 morceau(x)), Beurre demi-sel (25 g), Huile d'olive (), Sel fin (), Poivre du moulin (), Mayonnaise (100 g), Yaourt(s) grec(s) (50 g), Pâte de Wasabi S&B (0,5 c. à café), Jus de citron (100 g), Cornichon(s) (140 g), Câpres (80 g), Oignon(s) rouge(s) (1), Persil (80 g), Sel fin ()",
Papillote de poisson facile et rapide,"Poisson blanc (4 filets), Tomate(s) (2), Citron(s) jaune(s) (2), Crème fraîche (8 c. à soupe), Huile d'olive (), Sel poivre ()",
Aile de raie au court-bouillon,"Raie(s) (250 g), Eau (2,5 litres), Vinaigre blanc (4 c. à soupe), Bouillon cube de légumes (1), Poireau(x) (1), Carotte(s) (1), Thym (1 branche(s)), Laurier (1 feuille), Persil frais (1 poignée(s)), Huile d'olive (1 c. à soupe), Sel (), Poivre ()",
Pavé de saumon à la crème,"Saumon (6 pavé(s)), Vin blanc (750 ml), Crème fraîche (300 ml), Beurre (30 g), Huile d'olive (1 c. à soupe), Échalote(s) (2), Romarin (1 Branches), Paprika (1 pointe(s)), Grains de poivre (0,5 c. à café), Sel ()",
Filet d’églefin en papillote au four,"Églefin (4 Filet(s)), Tomate(s) cerise(s) (8), Courgette(s) (2), Carotte(s) (2), Échalote(s) (2), Citron(s) (1), Herbes aromatiques (1 poignée(s)), Huile d'olive (), Sel (), Poivre ()",
Poisson pané,"Cabillaud (4 filets), Œuf(s) (4), Farine (8 c. à soupe), Chapelure (8 c. à soupe), Beurre (2 noix), Sel poivre du moulin ()",
Terrine de poissons facile,"Poisson (500 g), Œuf(s) (3), Crème fraîche liquide (20 cl), Ciboulette (10 brin(s)), Beurre (20 g), Sel poivre ()",
Filet de poisson pané maison,"Sole (4 filets), Chapelure (), Œuf(s) (2), Farine (4 c. à soupe), Sel (), Poivre (), Huile (), Persil frisé (), Citron(s) (1)",
Blanquette de poisson au Cookeo,"Saumon (3 pavé(s)), Dos de cabillaud (3), Crevette(s) décortiquée(s) (10), Champignon(s) de paris (100 g), Carotte(s) (2), Paprika (1 c. à café), Crème fraîche liquide (20 cl), Eau (100 ml), Sel (), Poivre ()",
Daurade royale au four,"Daurade royale (800 g), Tomate(s) (1), Oignon(s) (1), Citron(s) vert(s) (1), Thym (4 brin(s)), Laurier (2 feuilles), Huile d'olive (3 c. à soupe), Persil hâché (1 c. à soupe), Sel poivre (), Ail (1 Gousse)",
Ceviche de poisson,"Poisson blanc (500 g), Jus de citron(s) vert(s) (60 ml), Oignon(s) rouge(s) (60 g), Ail (1 Gousse), Piment (1), Coriandre fraîche (4 brin(s)), Sel (0,5 c. à café), Poivre noir (0,25 c. à café)",
"Filets de sole, sauce citron","Sole (8 filets), Oignon(s) (1), Jus de citron (1), Vin blanc sec (0,75 verre(s)), Huile d'olive (3 c. à soupe), Persil hâché (2 c. à soupe), Sel ()",
Papillote de poisson à la provencale,"Poisson blanc (4 filets), Tomate(s) cerise(s) (12), Oignon(s) (1), Carotte(s) (2), Huile d'olive (), Sel, poivre ()",
Congre poêlé,"Congre(s) (400 g), Beurre (1 noix), Citron(s) (0,5), Échalote(s) (1), Ail (1 Gousse), Sel (), Poivre ()",
